molecule_idx,n_basis,regularization,nmape,r2,mae
98677,3355,1e-10,0.2764931314622073,0.9999978543900526,0.0002098680040604
98786,3091,1e-10,0.2868475503167621,0.9999977949599204,0.0002531936696407
107763,3201,1e-10,0.2662369967153593,0.9999980198269566,0.0001669577648185
3278,2497,1e-10,0.3019328147189275,0.9999968055209087,0.0002321959070745
67211,3465,1e-10,0.2752299542473636,0.9999969096850024,0.0002204671780601
92834,3322,1e-10,0.2886507129248853,0.9999977863336432,0.0001678224681636
32460,3025,1e-10,0.2641855019144009,0.9999974712875922,0.0002005114818701
95709,3322,1e-10,0.2431059467413107,0.9999983937274708,0.0001652696402087
84592,3289,1e-10,0.3040173522896425,0.9999967786867756,0.000250506751111
53097,3641,1e-10,0.2395969632629593,0.9999979908567532,0.0001677901740591
87097,3234,1e-10,0.3034101253600721,0.999996960959498,0.000247518203812
19129,2673,1e-10,0.2643143839039478,0.9999979033442729,0.0002180470281538
59732,2882,1e-10,0.2160788802496334,0.9999987053335596,0.0001733099861256
76935,3553,1e-10,0.2602208800597984,0.9999975385678764,0.0002033272669319
1210,2640,1e-10,0.2748342323424119,0.9999973744664236,0.0001880572684992
79507,3377,1e-10,0.2530664314509168,0.9999979319089524,0.0001720193697881
104163,3267,1e-10,0.2543939909827313,0.9999983040648892,0.0002378276884056
26962,3025,1e-10,0.2690614845699312,0.9999975676296172,0.0002576792987747
6155,2882,1e-10,0.2497062831948918,0.999998420580134,0.0001888752165351
40921,2937,1e-10,0.2818644516093915,0.9999970783820292,0.0002215915059288
120748,2585,1e-10,0.2177906629727663,0.99999833832841,0.000293126098409
44670,2794,1e-10,0.2639284102490974,0.9999981695356142,0.0001693356075754
3781,2849,1e-10,0.2719731072506219,0.9999976812945895,0.0001987756921686
17449,2937,1e-10,0.2673627177206286,0.9999973255841986,0.0002109439729895
5802,2794,1e-10,0.2365875058921522,0.9999985906091128,0.0001929385015973
108665,3641,1e-10,0.2481935182729563,0.999998196835097,0.0001381110386849
28520,3201,1e-10,0.2740400311318479,0.9999977456718118,0.0002225615349802
77251,3234,1e-10,0.2626807399749592,0.9999978617778305,0.0002030992916849
29127,3146,1e-10,0.2725391091765808,0.9999979390990856,0.0002192725055167
17313,2882,1e-10,0.2585616344421392,0.9999980797104784,0.0001818849959289
70743,3784,1e-10,0.2859948234525976,0.9999966092933136,0.0001711485747663
75319,3168,1e-10,0.2758238752877585,0.999996878405408,0.0002168206486337
120799,2706,1e-10,0.2308580310743631,0.9999985271225268,0.0002393139601732
39127,3322,1e-10,0.2811538445559555,0.9999974560167868,0.0002553599625675
79275,2970,1e-10,0.2596565334046801,0.9999981173661948,0.0002228929693345
